Folio CEEEY,Sexo,Modalidad,Turno,Grado,Matemáticas, Español, Ciencias Naturales
89538,H,General,Matutino,5,Básico,Básico,Básico
89541,H,General,Matutino,5,Básico,Básico,Básico
89544,H,General,Matutino,5,Básico,Básico,Básico
89546,H,General,Matutino,5,Básico,Básico,Básico
89551,H,General,Matutino,5,Básico,Básico,Básico
89556,H,General,Matutino,5,Básico,Básico,Básico
89563,H,General,Matutino,5,Básico,Básico,Básico
91017,H,General,Matutino,5,Básico,Básico,Básico
91025,H,General,Matutino,5,Básico,Básico,Básico
91027,H,General,Matutino,5,Básico,Básico,Básico
91052,H,General,Matutino,5,Básico,Básico,Básico
91057,H,General,Matutino,5,Básico,Básico,Básico
91059,H,General,Matutino,5,Básico,Básico,Básico
91086,H,General,Matutino,5,Básico,Básico,Básico
91295,H,General,Matutino,5,Básico,Básico,Básico
91299,H,General,Matutino,5,Básico,Básico,Básico
91300,H,General,Matutino,5,Básico,Básico,Básico
91302,H,General,Matutino,5,Básico,Básico,Básico
91303,H,General,Matutino,5,Básico,Básico,Básico
91309,H,General,Matutino,5,Básico,Básico,Básico
91311,H,General,Matutino,5,Básico,Básico,Básico
91315,H,General,Matutino,5,Básico,Básico,Básico
91316,H,General,Matutino,5,Básico,Básico,Básico
91317,H,General,Matutino,5,Básico,Básico,Básico
91608,H,General,Matutino,5,Básico,Básico,Básico
103253,H,General,Matutino,5,Básico,Básico,Básico
103257,H,General,Matutino,5,Básico,Básico,Básico
103265,H,General,Matutino,5,Básico,Básico,Básico
103269,H,General,Matutino,5,Básico,Básico,Básico
103275,H,General,Matutino,5,Básico,Básico,Básico
103278,H,General,Matutino,5,Básico,Básico,Básico
103295,H,General,Matutino,5,Básico,Básico,Básico
103300,H,General,Matutino,5,Básico,Básico,Básico
85265,H,General,Matutino,5,Básico,Básico,Básico
85266,H,General,Matutino,5,Básico,Básico,Básico
85276,H,General,Matutino,5,Básico,Básico,Básico
85277,H,General,Matutino,5,Básico,Básico,Básico
87000,H,General,Matutino,5,Básico,Básico,Básico
87009,H,General,Matutino,5,Básico,Básico,Básico
87022,H,General,Matutino,5,Básico,Básico,Básico
87024,H,General,Matutino,5,Básico,Básico,Básico
87028,H,General,Matutino,5,Básico,Básico,Básico
87033,H,General,Matutino,5,Básico,Básico,Básico
87038,H,General,Matutino,5,Básico,Básico,Básico
87045,H,General,Matutino,5,Básico,Básico,Básico
90102,H,General,Matutino,5,Básico,Básico,Básico
90942,H,General,Matutino,5,Básico,Básico,Básico
90946,H,General,Matutino,5,Básico,Básico,Básico
90955,H,General,Matutino,5,Básico,Básico,Básico
90964,H,General,Matutino,5,Básico,Básico,Básico
90968,H,General,Matutino,5,Básico,Básico,Básico
90970,H,General,Matutino,5,Básico,Básico,Básico
90979,H,General,Matutino,5,Básico,Básico,Básico
90980,H,General,Matutino,5,Básico,Básico,Básico
103394,H,General,Matutino,5,Básico,Básico,Básico
103397,H,General,Matutino,5,Básico,Básico,Básico
103406,H,General,Matutino,5,Básico,Básico,Básico
103412,H,General,Matutino,5,Básico,Básico,Básico
82046,H,General,Matutino,5,Básico,Básico,Básico
82068,H,General,Matutino,5,Básico,Básico,Básico
82077,H,General,Matutino,5,Básico,Básico,Básico
82093,H,General,Matutino,5,Básico,Básico,Básico
84950,H,General,Matutino,5,Básico,Básico,Básico
84956,H,General,Matutino,5,Básico,Básico,Básico
84958,H,General,Matutino,5,Básico,Básico,Básico
84970,H,General,Matutino,5,Básico,Básico,Básico
84977,H,General,Matutino,5,Básico,Básico,Básico
84983,H,General,Matutino,5,Básico,Básico,Básico
84987,H,General,Matutino,5,Básico,Básico,Básico
84989,H,General,Matutino,5,Básico,Básico,Básico
84995,H,General,Matutino,5,Básico,Básico,Básico
84996,H,General,Matutino,5,Básico,Básico,Básico
85002,H,General,Matutino,5,Básico,Básico,Básico
85008,H,General,Matutino,5,Básico,Básico,Básico
95386,H,General,Matutino,5,Básico,Básico,Básico
95401,H,General,Matutino,5,Básico,Básico,Básico
95402,H,General,Matutino,5,Básico,Básico,Básico
95404,H,General,Matutino,5,Básico,Básico,Básico
95422,H,General,Matutino,5,Básico,Básico,Básico
95429,H,General,Matutino,5,Básico,Básico,Básico
95435,H,General,Matutino,5,Básico,Básico,Básico
95436,H,General,Matutino,5,Básico,Básico,Básico
95444,H,General,Matutino,5,Básico,Básico,Básico
95445,H,General,Matutino,5,Básico,Básico,Básico
95446,H,General,Matutino,5,Básico,Básico,Básico
95449,H,General,Matutino,5,Básico,Básico,Básico
95453,H,General,Matutino,5,Básico,Básico,Básico
106197,H,General,Matutino,5,Básico,Básico,Básico
106198,H,General,Matutino,5,Básico,Básico,Básico
106201,H,General,Matutino,5,Básico,Básico,Básico
106211,H,General,Matutino,5,Básico,Básico,Básico
106220,H,General,Matutino,5,Básico,Básico,Básico
106235,H,General,Matutino,5,Básico,Básico,Básico
106240,H,General,Matutino,5,Básico,Básico,Básico
106244,H,General,Matutino,5,Básico,Básico,Básico
106253,H,General,Matutino,5,Básico,Básico,Básico
106257,H,General,Matutino,5,Básico,Básico,Básico
106259,H,General,Matutino,5,Básico,Básico,Básico
106274,H,General,Matutino,5,Básico,Básico,Básico
106275,H,General,Matutino,5,Básico,Básico,Básico
106429,H,General,Matutino,5,Básico,Básico,Básico
106433,H,General,Matutino,5,Básico,Básico,Básico
93255,H,General,Matutino,5,Básico,Básico,Básico
93274,H,General,Matutino,5,Básico,Básico,Básico
93279,H,General,Matutino,5,Básico,Básico,Básico
93288,H,General,Matutino,5,Básico,Básico,Básico
93292,H,General,Matutino,5,Básico,Básico,Básico
93605,H,General,Matutino,5,Básico,Básico,Básico
93611,H,General,Matutino,5,Básico,Básico,Básico
93617,H,General,Matutino,5,Básico,Básico,Básico
93618,H,General,Matutino,5,Básico,Básico,Básico
93622,H,General,Matutino,5,Básico,Básico,Básico
93636,H,General,Matutino,5,Básico,Básico,Básico
93637,H,General,Matutino,5,Básico,Básico,Básico
93645,H,General,Matutino,5,Básico,Básico,Básico
93646,H,General,Matutino,5,Básico,Básico,Básico
93647,H,General,Matutino,5,Básico,Básico,Básico
100115,H,General,Matutino,5,Básico,Básico,Básico
100122,H,General,Matutino,5,Básico,Básico,Básico
100148,H,General,Matutino,5,Básico,Básico,Básico
100159,H,General,Matutino,5,Básico,Básico,Básico
100168,H,General,Matutino,5,Básico,Básico,Básico
106897,H,General,Matutino,5,Básico,Básico,Básico
106903,H,General,Matutino,5,Básico,Básico,Básico
106909,H,General,Matutino,5,Básico,Básico,Básico
106911,H,General,Matutino,5,Básico,Básico,Básico
106919,H,General,Matutino,5,Básico,Básico,Básico
106922,H,General,Matutino,5,Básico,Básico,Básico
106931,H,General,Matutino,5,Básico,Básico,Básico
106953,H,General,Matutino,5,Básico,Básico,Básico
106967,H,General,Matutino,5,Básico,Básico,Básico
106998,H,General,Matutino,5,Básico,Básico,Básico
107004,H,General,Matutino,5,Básico,Básico,Básico
107005,H,General,Matutino,5,Básico,Básico,Básico
107011,H,General,Matutino,5,Básico,Básico,Básico
107012,H,General,Matutino,5,Básico,Básico,Básico
107016,H,General,Matutino,5,Básico,Básico,Básico
107017,H,General,Matutino,5,Básico,Básico,Básico
107019,H,General,Matutino,5,Básico,Básico,Básico
83314,H,General,Matutino,5,Básico,Básico,Básico
83344,H,General,Matutino,5,Básico,Básico,Básico
83346,H,General,Matutino,5,Básico,Básico,Básico
83351,H,General,Matutino,5,Básico,Básico,Básico
83352,H,General,Matutino,5,Básico,Básico,Básico
85782,H,General,Matutino,5,Básico,Básico,Básico
85790,H,General,Matutino,5,Básico,Básico,Básico
85802,H,General,Matutino,5,Básico,Básico,Básico
85811,H,General,Matutino,5,Básico,Básico,Básico
85816,H,General,Matutino,5,Básico,Básico,Básico
85819,H,General,Matutino,5,Básico,Básico,Básico
85821,H,General,Matutino,5,Básico,Básico,Básico
85823,H,General,Matutino,5,Básico,Básico,Básico
85826,H,General,Matutino,5,Básico,Básico,Básico
85829,H,General,Matutino,5,Básico,Básico,Básico
85838,H,General,Matutino,5,Básico,Básico,Básico
92192,H,General,Matutino,5,Básico,Básico,Básico
92201,H,General,Matutino,5,Básico,Básico,Básico
92207,H,General,Matutino,5,Básico,Básico,Básico
92214,H,General,Matutino,5,Básico,Básico,Básico
92216,H,General,Matutino,5,Básico,Básico,Básico
92228,H,General,Matutino,5,Básico,Básico,Básico
92232,H,General,Matutino,5,Básico,Básico,Básico
92233,H,General,Matutino,5,Básico,Básico,Básico
107297,H,General,Matutino,5,Básico,Básico,Básico
107300,H,General,Matutino,5,Básico,Básico,Básico
107308,H,General,Matutino,5,Básico,Básico,Básico
107315,H,General,Matutino,5,Básico,Básico,Básico
107319,H,General,Matutino,5,Básico,Básico,Básico
107322,H,General,Matutino,5,Básico,Básico,Básico
107331,H,General,Matutino,5,Básico,Básico,Básico
107342,H,General,Matutino,5,Básico,Básico,Básico
107353,H,General,Matutino,5,Básico,Básico,Básico
107402,H,General,Matutino,5,Básico,Básico,Básico
107403,H,General,Matutino,5,Básico,Básico,Básico
107405,H,General,Matutino,5,Básico,Básico,Básico
107419,H,General,Matutino,5,Básico,Básico,Básico
107423,H,General,Matutino,5,Básico,Básico,Básico
107433,H,General,Matutino,5,Básico,Básico,Básico
107435,H,General,Matutino,5,Básico,Básico,Básico
107437,H,General,Matutino,5,Básico,Básico,Básico
107440,H,General,Matutino,5,Básico,Básico,Básico
107451,H,General,Matutino,5,Básico,Básico,Básico
107453,H,General,Matutino,5,Básico,Básico,Básico
107455,H,General,Matutino,5,Básico,Básico,Básico
107456,H,General,Matutino,5,Básico,Básico,Básico
107457,H,General,Matutino,5,Básico,Básico,Básico
81553,H,General,Matutino,5,Básico,Básico,Básico
81561,H,General,Matutino,5,Básico,Básico,Básico
81568,H,General,Matutino,5,Básico,Básico,Básico
81573,H,General,Matutino,5,Básico,Básico,Básico
81578,H,General,Matutino,5,Básico,Básico,Básico
81584,H,General,Matutino,5,Básico,Básico,Básico
81585,H,General,Matutino,5,Básico,Básico,Básico
81589,H,General,Matutino,5,Básico,Básico,Básico
81591,H,General,Matutino,5,Básico,Básico,Básico
81594,H,General,Matutino,5,Básico,Básico,Básico
81604,H,General,Matutino,5,Básico,Básico,Básico
107586,H,General,Matutino,5,Básico,Básico,Básico
107587,H,General,Matutino,5,Básico,Básico,Básico
107589,H,General,Matutino,5,Básico,Básico,Básico
107591,H,General,Matutino,5,Básico,Básico,Básico
107593,H,General,Matutino,5,Básico,Básico,Básico
107596,H,General,Matutino,5,Básico,Básico,Básico
107601,H,General,Matutino,5,Básico,Básico,Básico
107604,H,General,Matutino,5,Básico,Básico,Básico
107607,H,General,Matutino,5,Básico,Básico,Básico
107612,H,General,Matutino,5,Básico,Básico,Básico
107614,H,General,Matutino,5,Básico,Básico,Básico
107615,H,General,Matutino,5,Básico,Básico,Básico
107626,H,General,Matutino,5,Básico,Básico,Básico
107627,H,General,Matutino,5,Básico,Básico,Básico
107628,H,General,Matutino,5,Básico,Básico,Básico
107639,H,General,Matutino,5,Básico,Básico,Básico
107653,H,General,Matutino,5,Básico,Básico,Básico
107655,H,General,Matutino,5,Básico,Básico,Básico
107664,H,General,Matutino,5,Básico,Básico,Básico
107692,H,General,Matutino,5,Básico,Básico,Básico
107693,H,General,Matutino,5,Básico,Básico,Básico
107696,H,General,Matutino,5,Básico,Básico,Básico
107697,H,General,Matutino,5,Básico,Básico,Básico
107698,H,General,Matutino,5,Básico,Básico,Básico
107700,H,General,Matutino,5,Básico,Básico,Básico
107708,H,General,Matutino,5,Básico,Básico,Básico
107716,H,General,Matutino,5,Básico,Básico,Básico
107717,H,General,Matutino,5,Básico,Básico,Básico
107722,H,General,Matutino,5,Básico,Básico,Básico
107738,H,General,Matutino,5,Básico,Básico,Básico
107749,H,General,Matutino,5,Básico,Básico,Básico
107753,H,General,Matutino,5,Básico,Básico,Básico
107760,H,General,Matutino,5,Básico,Básico,Básico
108550,H,General,Matutino,5,Básico,Básico,Básico
108552,H,General,Matutino,5,Básico,Básico,Básico
108553,H,General,Matutino,5,Básico,Básico,Básico
108558,H,General,Matutino,5,Básico,Básico,Básico
108563,H,General,Matutino,5,Básico,Básico,Básico
108569,H,General,Matutino,5,Básico,Básico,Básico
108572,H,General,Matutino,5,Básico,Básico,Básico
108573,H,General,Matutino,5,Básico,Básico,Básico
108576,H,General,Matutino,5,Básico,Básico,Básico
108579,H,General,Matutino,5,Básico,Básico,Básico
108580,H,General,Matutino,5,Básico,Básico,Básico
108585,H,General,Matutino,5,Básico,Básico,Básico
108589,H,General,Matutino,5,Básico,Básico,Básico
108590,H,General,Matutino,5,Básico,Básico,Básico
108021,H,General,Matutino,5,Básico,Básico,Básico
80573,H,General,Matutino,5,Básico,Básico,Básico
80582,H,General,Matutino,5,Básico,Básico,Básico
80584,H,General,Matutino,5,Básico,Básico,Básico
80607,H,General,Matutino,5,Básico,Básico,Básico
80616,H,General,Matutino,5,Básico,Básico,Básico
85704,H,General,Matutino,5,Básico,Básico,Básico
85711,H,General,Matutino,5,Básico,Básico,Básico
108145,H,General,Matutino,5,Básico,Básico,Básico
108153,H,General,Matutino,5,Básico,Básico,Básico
108169,H,General,Matutino,5,Básico,Básico,Básico
108172,H,General,Matutino,5,Básico,Básico,Básico
108194,H,General,Matutino,5,Básico,Básico,Básico
89531,M,General,Matutino,5,Básico,Básico,Básico
89540,M,General,Matutino,5,Básico,Básico,Básico
89545,M,General,Matutino,5,Básico,Básico,Básico
89552,M,General,Matutino,5,Básico,Básico,Básico
89553,M,General,Matutino,5,Básico,Básico,Básico
89559,M,General,Matutino,5,Básico,Básico,Básico
89565,M,General,Matutino,5,Básico,Básico,Básico
89566,M,General,Matutino,5,Básico,Básico,Básico
89571,M,General,Matutino,5,Básico,Básico,Básico
89588,M,General,Matutino,5,Básico,Básico,Básico
91019,M,General,Matutino,5,Básico,Básico,Básico
91020,M,General,Matutino,5,Básico,Básico,Básico
91031,M,General,Matutino,5,Básico,Básico,Básico
91034,M,General,Matutino,5,Básico,Básico,Básico
91044,M,General,Matutino,5,Básico,Básico,Básico
91060,M,General,Matutino,5,Básico,Básico,Básico
91064,M,General,Matutino,5,Básico,Básico,Básico
91074,M,General,Matutino,5,Básico,Básico,Básico
91078,M,General,Matutino,5,Básico,Básico,Básico
91079,M,General,Matutino,5,Básico,Básico,Básico
91081,M,General,Matutino,5,Básico,Básico,Básico
91083,M,General,Matutino,5,Básico,Básico,Básico
91088,M,General,Matutino,5,Básico,Básico,Básico
91298,M,General,Matutino,5,Básico,Básico,Básico
91304,M,General,Matutino,5,Básico,Básico,Básico
91318,M,General,Matutino,5,Básico,Básico,Básico
91320,M,General,Matutino,5,Básico,Básico,Básico
91593,M,General,Matutino,5,Básico,Básico,Básico
91610,M,General,Matutino,5,Básico,Básico,Básico
91615,M,General,Matutino,5,Básico,Básico,Básico
103249,M,General,Matutino,5,Básico,Básico,Básico
103255,M,General,Matutino,5,Básico,Básico,Básico
103258,M,General,Matutino,5,Básico,Básico,Básico
103266,M,General,Matutino,5,Básico,Básico,Básico
103268,M,General,Matutino,5,Básico,Básico,Básico
103270,M,General,Matutino,5,Básico,Básico,Básico
103277,M,General,Matutino,5,Básico,Básico,Básico
103282,M,General,Matutino,5,Básico,Básico,Básico
103283,M,General,Matutino,5,Básico,Básico,Básico
86995,M,General,Matutino,5,Básico,Básico,Básico
87001,M,General,Matutino,5,Básico,Básico,Básico
87003,M,General,Matutino,5,Básico,Básico,Básico
87005,M,General,Matutino,5,Básico,Básico,Básico
87013,M,General,Matutino,5,Básico,Básico,Básico
87023,M,General,Matutino,5,Básico,Básico,Básico
87025,M,General,Matutino,5,Básico,Básico,Básico
87030,M,General,Matutino,5,Básico,Básico,Básico
87031,M,General,Matutino,5,Básico,Básico,Básico
87035,M,General,Matutino,5,Básico,Básico,Básico
87040,M,General,Matutino,5,Básico,Básico,Básico
87041,M,General,Matutino,5,Básico,Básico,Básico
87042,M,General,Matutino,5,Básico,Básico,Básico
90103,M,General,Matutino,5,Básico,Básico,Básico
90107,M,General,Matutino,5,Básico,Básico,Básico
90116,M,General,Matutino,5,Básico,Básico,Básico
90977,M,General,Matutino,5,Básico,Básico,Básico
90981,M,General,Matutino,5,Básico,Básico,Básico
103405,M,General,Matutino,5,Básico,Básico,Básico
103410,M,General,Matutino,5,Básico,Básico,Básico
103411,M,General,Matutino,5,Básico,Básico,Básico
82070,M,General,Matutino,5,Básico,Básico,Básico
82073,M,General,Matutino,5,Básico,Básico,Básico
82086,M,General,Matutino,5,Básico,Básico,Básico
82091,M,General,Matutino,5,Básico,Básico,Básico
84957,M,General,Matutino,5,Básico,Básico,Básico
84973,M,General,Matutino,5,Básico,Básico,Básico
84974,M,General,Matutino,5,Básico,Básico,Básico
84984,M,General,Matutino,5,Básico,Básico,Básico
84985,M,General,Matutino,5,Básico,Básico,Básico
84986,M,General,Matutino,5,Básico,Básico,Básico
84992,M,General,Matutino,5,Básico,Básico,Básico
84997,M,General,Matutino,5,Básico,Básico,Básico
84999,M,General,Matutino,5,Básico,Básico,Básico
85005,M,General,Matutino,5,Básico,Básico,Básico
95393,M,General,Matutino,5,Básico,Básico,Básico
95396,M,General,Matutino,5,Básico,Básico,Básico
95398,M,General,Matutino,5,Básico,Básico,Básico
95399,M,General,Matutino,5,Básico,Básico,Básico
95403,M,General,Matutino,5,Básico,Básico,Básico
95414,M,General,Matutino,5,Básico,Básico,Básico
95433,M,General,Matutino,5,Básico,Básico,Básico
95434,M,General,Matutino,5,Básico,Básico,Básico
95437,M,General,Matutino,5,Básico,Básico,Básico
95455,M,General,Matutino,5,Básico,Básico,Básico
106207,M,General,Matutino,5,Básico,Básico,Básico
106210,M,General,Matutino,5,Básico,Básico,Básico
106221,M,General,Matutino,5,Básico,Básico,Básico
106226,M,General,Matutino,5,Básico,Básico,Básico
106243,M,General,Matutino,5,Básico,Básico,Básico
106252,M,General,Matutino,5,Básico,Básico,Básico
106270,M,General,Matutino,5,Básico,Básico,Básico
106272,M,General,Matutino,5,Básico,Básico,Básico
106276,M,General,Matutino,5,Básico,Básico,Básico
106279,M,General,Matutino,5,Básico,Básico,Básico
106421,M,General,Matutino,5,Básico,Básico,Básico
106422,M,General,Matutino,5,Básico,Básico,Básico
93250,M,General,Matutino,5,Básico,Básico,Básico
93266,M,General,Matutino,5,Básico,Básico,Básico
93268,M,General,Matutino,5,Básico,Básico,Básico
93287,M,General,Matutino,5,Básico,Básico,Básico
93289,M,General,Matutino,5,Básico,Básico,Básico
93608,M,General,Matutino,5,Básico,Básico,Básico
93609,M,General,Matutino,5,Básico,Básico,Básico
93610,M,General,Matutino,5,Básico,Básico,Básico
93612,M,General,Matutino,5,Básico,Básico,Básico
93614,M,General,Matutino,5,Básico,Básico,Básico
93619,M,General,Matutino,5,Básico,Básico,Básico
93629,M,General,Matutino,5,Básico,Básico,Básico
93638,M,General,Matutino,5,Básico,Básico,Básico
93639,M,General,Matutino,5,Básico,Básico,Básico
93651,M,General,Matutino,5,Básico,Básico,Básico
93655,M,General,Matutino,5,Básico,Básico,Básico
100111,M,General,Matutino,5,Básico,Básico,Básico
100112,M,General,Matutino,5,Básico,Básico,Básico
100119,M,General,Matutino,5,Básico,Básico,Básico
100120,M,General,Matutino,5,Básico,Básico,Básico
100123,M,General,Matutino,5,Básico,Básico,Básico
100128,M,General,Matutino,5,Básico,Básico,Básico
100132,M,General,Matutino,5,Básico,Básico,Básico
100135,M,General,Matutino,5,Básico,Básico,Básico
100137,M,General,Matutino,5,Básico,Básico,Básico
100138,M,General,Matutino,5,Básico,Básico,Básico
100142,M,General,Matutino,5,Básico,Básico,Básico
100143,M,General,Matutino,5,Básico,Básico,Básico
100147,M,General,Matutino,5,Básico,Básico,Básico
100150,M,General,Matutino,5,Básico,Básico,Básico
106899,M,General,Matutino,5,Básico,Básico,Básico
106900,M,General,Matutino,5,Básico,Básico,Básico
106904,M,General,Matutino,5,Básico,Básico,Básico
106907,M,General,Matutino,5,Básico,Básico,Básico
106912,M,General,Matutino,5,Básico,Básico,Básico
106914,M,General,Matutino,5,Básico,Básico,Básico
106923,M,General,Matutino,5,Básico,Básico,Básico
106965,M,General,Matutino,5,Básico,Básico,Básico
107001,M,General,Matutino,5,Básico,Básico,Básico
107002,M,General,Matutino,5,Básico,Básico,Básico
107010,M,General,Matutino,5,Básico,Básico,Básico
107015,M,General,Matutino,5,Básico,Básico,Básico
107029,M,General,Matutino,5,Básico,Básico,Básico
83359,M,General,Matutino,5,Básico,Básico,Básico
83363,M,General,Matutino,5,Básico,Básico,Básico
83365,M,General,Matutino,5,Básico,Básico,Básico
85766,M,General,Matutino,5,Básico,Básico,Básico
85773,M,General,Matutino,5,Básico,Básico,Básico
85776,M,General,Matutino,5,Básico,Básico,Básico
85777,M,General,Matutino,5,Básico,Básico,Básico
85795,M,General,Matutino,5,Básico,Básico,Básico
85796,M,General,Matutino,5,Básico,Básico,Básico
85803,M,General,Matutino,5,Básico,Básico,Básico
85804,M,General,Matutino,5,Básico,Básico,Básico
85805,M,General,Matutino,5,Básico,Básico,Básico
85807,M,General,Matutino,5,Básico,Básico,Básico
85808,M,General,Matutino,5,Básico,Básico,Básico
85817,M,General,Matutino,5,Básico,Básico,Básico
85818,M,General,Matutino,5,Básico,Básico,Básico
85820,M,General,Matutino,5,Básico,Básico,Básico
85822,M,General,Matutino,5,Básico,Básico,Básico
85827,M,General,Matutino,5,Básico,Básico,Básico
85830,M,General,Matutino,5,Básico,Básico,Básico
85832,M,General,Matutino,5,Básico,Básico,Básico
85833,M,General,Matutino,5,Básico,Básico,Básico
85835,M,General,Matutino,5,Básico,Básico,Básico
85837,M,General,Matutino,5,Básico,Básico,Básico
85842,M,General,Matutino,5,Básico,Básico,Básico
92193,M,General,Matutino,5,Básico,Básico,Básico
92196,M,General,Matutino,5,Básico,Básico,Básico
92197,M,General,Matutino,5,Básico,Básico,Básico
92205,M,General,Matutino,5,Básico,Básico,Básico
92206,M,General,Matutino,5,Básico,Básico,Básico
92208,M,General,Matutino,5,Básico,Básico,Básico
107292,M,General,Matutino,5,Básico,Básico,Básico
107294,M,General,Matutino,5,Básico,Básico,Básico
107296,M,General,Matutino,5,Básico,Básico,Básico
107310,M,General,Matutino,5,Básico,Básico,Básico
107318,M,General,Matutino,5,Básico,Básico,Básico
107327,M,General,Matutino,5,Básico,Básico,Básico
107333,M,General,Matutino,5,Básico,Básico,Básico
107340,M,General,Matutino,5,Básico,Básico,Básico
107404,M,General,Matutino,5,Básico,Básico,Básico
107412,M,General,Matutino,5,Básico,Básico,Básico
107413,M,General,Matutino,5,Básico,Básico,Básico
107427,M,General,Matutino,5,Básico,Básico,Básico
107428,M,General,Matutino,5,Básico,Básico,Básico
107431,M,General,Matutino,5,Básico,Básico,Básico
107436,M,General,Matutino,5,Básico,Básico,Básico
107438,M,General,Matutino,5,Básico,Básico,Básico
107439,M,General,Matutino,5,Básico,Básico,Básico
107442,M,General,Matutino,5,Básico,Básico,Básico
107447,M,General,Matutino,5,Básico,Básico,Básico
107454,M,General,Matutino,5,Básico,Básico,Básico
81559,M,General,Matutino,5,Básico,Básico,Básico
81582,M,General,Matutino,5,Básico,Básico,Básico
81592,M,General,Matutino,5,Básico,Básico,Básico
81601,M,General,Matutino,5,Básico,Básico,Básico
81616,M,General,Matutino,5,Básico,Básico,Básico
81618,M,General,Matutino,5,Básico,Básico,Básico
107576,M,General,Matutino,5,Básico,Básico,Básico
107581,M,General,Matutino,5,Básico,Básico,Básico
107590,M,General,Matutino,5,Básico,Básico,Básico
107603,M,General,Matutino,5,Básico,Básico,Básico
107609,M,General,Matutino,5,Básico,Básico,Básico
107610,M,General,Matutino,5,Básico,Básico,Básico
107618,M,General,Matutino,5,Básico,Básico,Básico
107619,M,General,Matutino,5,Básico,Básico,Básico
107622,M,General,Matutino,5,Básico,Básico,Básico
107629,M,General,Matutino,5,Básico,Básico,Básico
107632,M,General,Matutino,5,Básico,Básico,Básico
107635,M,General,Matutino,5,Básico,Básico,Básico
107665,M,General,Matutino,5,Básico,Básico,Básico
107690,M,General,Matutino,5,Básico,Básico,Básico
107703,M,General,Matutino,5,Básico,Básico,Básico
107704,M,General,Matutino,5,Básico,Básico,Básico
107706,M,General,Matutino,5,Básico,Básico,Básico
107724,M,General,Matutino,5,Básico,Básico,Básico
107730,M,General,Matutino,5,Básico,Básico,Básico
107751,M,General,Matutino,5,Básico,Básico,Básico
107763,M,General,Matutino,5,Básico,Básico,Básico
107771,M,General,Matutino,5,Básico,Básico,Básico
108533,M,General,Matutino,5,Básico,Básico,Básico
108535,M,General,Matutino,5,Básico,Básico,Básico
108554,M,General,Matutino,5,Básico,Básico,Básico
108555,M,General,Matutino,5,Básico,Básico,Básico
108564,M,General,Matutino,5,Básico,Básico,Básico
108565,M,General,Matutino,5,Básico,Básico,Básico
108566,M,General,Matutino,5,Básico,Básico,Básico
108568,M,General,Matutino,5,Básico,Básico,Básico
108577,M,General,Matutino,5,Básico,Básico,Básico
108586,M,General,Matutino,5,Básico,Básico,Básico
108592,M,General,Matutino,5,Básico,Básico,Básico
80570,M,General,Matutino,5,Básico,Básico,Básico
80572,M,General,Matutino,5,Básico,Básico,Básico
80600,M,General,Matutino,5,Básico,Básico,Básico
80613,M,General,Matutino,5,Básico,Básico,Básico
80619,M,General,Matutino,5,Básico,Básico,Básico
108138,M,General,Matutino,5,Básico,Básico,Básico
108142,M,General,Matutino,5,Básico,Básico,Básico
108160,M,General,Matutino,5,Básico,Básico,Básico
108164,M,General,Matutino,5,Básico,Básico,Básico
108165,M,General,Matutino,5,Básico,Básico,Básico
108190,M,General,Matutino,5,Básico,Básico,Básico
51236,M,General,Matutino,4,Básico,Básico,Básico
51238,M,General,Matutino,4,Básico,Básico,Básico
51243,M,General,Matutino,4,Básico,Básico,Básico
51249,M,General,Matutino,4,Básico,Básico,Básico
51259,M,General,Matutino,4,Básico,Básico,Básico
52723,M,General,Matutino,4,Básico,Básico,Básico
52746,M,General,Matutino,4,Básico,Básico,Básico
52751,M,General,Matutino,4,Básico,Básico,Básico
52956,M,General,Matutino,4,Básico,Básico,Básico
52961,M,General,Matutino,4,Básico,Básico,Básico
52973,M,General,Matutino,4,Básico,Básico,Básico
52977,M,General,Matutino,4,Básico,Básico,Básico
53272,M,General,Matutino,4,Básico,Básico,Básico
53276,M,General,Matutino,4,Básico,Básico,Básico
53295,M,General,Matutino,4,Básico,Básico,Básico
53300,M,General,Matutino,4,Básico,Básico,Básico
53301,M,General,Matutino,4,Básico,Básico,Básico
65360,M,General,Matutino,4,Básico,Básico,Básico
65365,M,General,Matutino,4,Básico,Básico,Básico
65367,M,General,Matutino,4,Básico,Básico,Básico
46774,M,General,Matutino,4,Básico,Básico,Básico
46780,M,General,Matutino,4,Básico,Básico,Básico
46783,M,General,Matutino,4,Básico,Básico,Básico
46797,M,General,Matutino,4,Básico,Básico,Básico
48512,M,General,Matutino,4,Básico,Básico,Básico
48515,M,General,Matutino,4,Básico,Básico,Básico
48528,M,General,Matutino,4,Básico,Básico,Básico
48529,M,General,Matutino,4,Básico,Básico,Básico
48535,M,General,Matutino,4,Básico,Básico,Básico
48550,M,General,Matutino,4,Básico,Básico,Básico
48556,M,General,Matutino,4,Básico,Básico,Básico
52629,M,General,Matutino,4,Básico,Básico,Básico
52630,M,General,Matutino,4,Básico,Básico,Básico
52636,M,General,Matutino,4,Básico,Básico,Básico
52637,M,General,Matutino,4,Básico,Básico,Básico
52646,M,General,Matutino,4,Básico,Básico,Básico
52649,M,General,Matutino,4,Básico,Básico,Básico
52653,M,General,Matutino,4,Básico,Básico,Básico
52656,M,General,Matutino,4,Básico,Básico,Básico
